Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean
6172,Solar Ventures,Williams Farm,Solar Photovoltaics,5.00,Operational,Operational,Clwyd,Wales,Wales,LL13 0UW,338309,348363,Wrexham,01/02/2016,31/03/2016,,operational
6173,WhiteRock Energy,Woodlands Wind Farm,Wind Onshore,2.60,Operational,Operational,South Lanarkshire,Scotland,Scotland,ML11 0HQ,279826,639404,South Lanarkshire,01/03/2016,28/07/2016,,operational
6174,Ethical Power,Kirton Solar PV Farm,Solar Photovoltaics,3.20,Operational,Operational,Lincolnshire,East Midlands,England,PE20 1PR,528032,338903,Boston,02/02/2016,30/03/2016,,operational
6180,Bury Green Farm Solar (Caledon Partners),Bury Green Farm Solar,Solar Photovoltaics,5.00,Operational,Operational,Cambridgeshire,Eastern,England,,526700,285350,Huntingdonshire,18/01/2016,15/03/2016,,operational
6181,Novus,Misson Solar Farm,Solar Photovoltaics,5.00,Operational,Operational,Nottinghamshire,East Midlands,England,DN10 6BU,467776,394781,Bassetlaw,25/01/2016,24/03/2016,,operational
6182,Thames Water Utilities,Beckton STW Enhanced Sludge Digestion,Sewage Sludge Digestion,5.80,Operational,Operational,London,London,England,IG11 0AD,544385,182797,Newham,15/06/2014,15/12/2014,,operational
6184,SIMEC/ Liberty House,Liberty Steel Power Station,Biomass (dedicated),9.00,Operational,Operational,Gwent,Wales,Wales,NP19 4XE,333374,185135,Newport,04/03/2016,15/01/2017,,operational
6189,United Utilities,Lancaster Wastewater Treatment Works,Solar Photovoltaics,1.20,Operational,Operational,Lancashire,North West,England,LA2 0AG,346555,458609,Lancaster,07/03/2016,07/04/2016,,operational
6198,Whitman Laboratories,Whitman Laboratories,Solar Photovoltaics,1.00,Operational,Operational,Hampshire,South East,England,GU32 3DD,473661,123479,East Hampshire,05/06/2017,18/10/2017,,operational
6205,Lightsource BP,Binsted Farm,Solar Photovoltaics,5.00,Operational,Operational,West Sussex,South East,England,DN31 2SY,498258,104734,Arun,31/01/2016,31/03/2016,,operational
6210,O2N Energy (Billingham) LLP,Billingham Chemical Works,EfW Incineration,12.00,Operational,Operational,County Durham,North East,England,,447000,522000,Stockton-on-Tees,01/05/2011,01/12/2013,,operational
6212,Pengelly Farms,Pengelly Barton Farm,Anaerobic Digestion,1.00,Operational,Operational,Cornwall,South West,England,TR13 9RG,161464,32249,Cornwall,15/02/2017,15/05/2017,,operational
6215,Levenseat,Levenseat Waste Management Facility,Advanced Conversion Technologies,17.00,Operational,Operational,West Lothian,Scotland,Scotland,ML11 8EP,293881,657597,West Lothian,02/10/2017,01/07/2018,,operational
6227,JG Pears Power,JG Pears' animal rendering facility,Biomass (dedicated),12.00,Operational,Operational,Nottinghamshire,East Midlands,England,NG23 6SP,480358,369197,Bassetlaw,15/12/2015,15/04/2018,,operational
6228,Newbridge Energy ,Blazer Fuels ,Biomass (dedicated),3.00,Operational,Operational,Denbighshire,Wales,Wales,LL15 2TN ,311558,359049,Denbighshire,01/01/2016,31/03/2017,,operational
6230,Renewable Source,Oakfield Farm,Solar Photovoltaics,5.00,Operational,Operational,Lancashire,North West,England,,346695,430917,Fylde,31/01/2016,31/03/2016,,operational
